X  [mm];Y  [mm];Z  [mm]
1034.1694376376547;-1308.146775174569;-359.33810867590785
915.5957745265027;-1431.643739136458;-85.5978856647731
1041.0163115487028;-1312.0233864827942;-322.3161028970464
949.1054333322163;-1399.2336090481483;-219.4974044551188
898.1280599833242;-1384.6259802700104;-399.2424792811288
946.905223888573;-1425.6081363727621;-55.49623293341592
993.8048937077273;-1326.720315036915;-421.0859561946249
889.2684856822908;-1398.2974278755255;-377.1965661091992
995.6797237870368;-1360.60836886946;-242.04252301600314
935.5336012640421;-1403.3446712945745;-252.82641525927318
1051.3882645736762;-1328.4711550225832;-110.92429065261494
1016.6338633148544;-1347.7393754893906;-258.9718146555276
903.0380334468954;-1434.8233210894787;-138.57776701152378
1057.9779786221538;-1325.3495219857575;-132.92769285309598
881.4622062229133;-1418.22689647998;-357.46881859109675
879.4881669722612;-1409.8074981653112;-369.71521613358
1041.6185764036022;-1306.8564703318732;-318.66974332675505
905.8839572931029;-1417.3736480289;-178.1231519655982
947.6441949471016;-1324.9920436550576;-405.470884582351
980.8096856183857;-1314.0002996706066;-396.7407007075378
